time (s),CA (deg),P(bar),T(K),V (m3),Heat Release (MW),dWv_dt (Vmean),cylinder mass (kg),phi,mdot_in,mdot_fuel,mdot_radicals,mdot_out,heat_loss [MW],heat_coeff [W/m2/K]
0.0015151515151515152,0.5,5.0472289898803995,1490.7972620446938,0.20227118647302808,-0.002901532891453573,23371.22240683214,0.23408372830043453,0.3703703703703581,-0.0,0.0,0.0,0.0,1.0008432331035562,377.97649518184784
0.0030303030303030303,1.0,5.008888649964672,1480.437161422771,0.20240285647784273,-0.0028974629215569115,46296.42546128843,0.23408372830043453,0.3703703703703583,-0.0,0.0,0.0,0.0,0.9880476948521802,376.8533764783998
0.004545454545454545,1.5,4.968244522445572,1470.0176475536034,0.20262229534452716,-0.002715034494754582,68733.87652655959,0.2340837283004345,0.3703703703703582,-0.0,0.0,0.0,0.0,0.9750018863623227,375.6058538766008
0.006060606060606061,2.0,4.925363123630302,1459.5404471825611,0.20292948636196184,-0.002525444713540974,90643.46629633964,0.2340837283004345,0.37037037037035825,-0.0,0.0,0.0,0.0,0.9617187741771046,374.23548272988245
0.007575757575757576,2.5000000000000004,4.880318570559357,1449.0079072800468,0.20332440613636152,-0.0023432555451999575,111986.93830347106,0.2340837283004345,0.37037037037035814,-0.0,0.0,0.0,0.0,0.9482125338657909,372.7441396820888
0.00909090909090909,3.0,4.833191043114815,1438.4226291065693,0.2038070245930565,-0.0021703654366996964,132728.06420988886,0.2340837283004345,0.3703703703703581,-0.0,0.0,0.0,0.0,0.9344980610152449,371.13398548406093
0.010606060606060605,3.5,4.78406622385209,1427.787422562919,0.20437730497878268,-0.0020070103202812477,152832.8044485787,0.23408372830043453,0.3703703703703581,-0.0,0.0,0.0,0.0,0.9205908544585721,369.40745118211413
0.01212121212121212,4.0,4.733034793971155,1417.1052875267226,0.20503520386404508,-0.001853033477111827,172269.451085975,0.23408372830043453,0.370370370370358,-0.0,0.0,0.0,0.0,0.9065069290775958,367.5672249852193
0.013636363636363634,4.5,4.680191914382585,1406.3793983827318,0.2057806711481756,-0.0017081469174091042,191008.75142172442,0.23408372830043453,0.37037037037035814,-0.0,0.0,0.0,0.0,0.8922627309949605,365.6162380587806
0.015151515151515148,4.999999999999999,4.625636688688026,1395.6130890786812,0.20661365006050317,-0.0015720081126050936,209024.0114958477,0.23408372830043453,0.37037037037035786,-0.0,0.0,0.0,0.0,0.8778750527174127,363.5576491768193
0.016666666666666663,5.499999999999999,4.569471610869704,1384.80983797927,0.20753407716646705,-0.0014442580997151748,226291.17892126823,0.23408372830043447,0.3703703703703579,-0.0,0.0,0.0,0.0,0.8633609480180027,361.39482830578163
0.018181818181818177,5.999999999999999,4.511802003608477,1373.973252619792,0.20854188237197913,-0.001324538283843562,242788.90482090824,0.2340837283004345,0.37037037037035775,-0.0,0.0,0.0,0.0,0.8487376473550654,359.1313392948016
0.019696969696969692,6.499999999999998,4.452735452349013,1363.1070543078704,0.2096369889287709,-0.0012125005234694182,258498.58487684996,0.23408372830043447,0.3703703703703576,-0.0,0.0,0.0,0.0,0.8340224743913125,356.7709218251072
0.021212121212121206,6.999999999999999,4.392381240666329,1352.2150626725315,0.21081931344023774,-0.0011078131206479244,273404.37978525984,0.2340837283004345,0.37037037037035747,-0.0,0.0,0.0,0.0,0.8192327643286367,354.3174727924998
0.02272727272727272,7.499999999999999,4.330849792184398,1341.3011802386532,0.2120887658677899,-0.0010101627989357654,287493.2156546559,0.2340837283004345,0.37037037037035747,-0.0,0.0,0.0,0.0,0.8043857847036904,351.7750272943116
0.024242424242424235,7.999999999999999,4.268252124016727,1330.3693771077656,0.21344524953771185,-0.0009192539933458092,300754.76511421235,0.23408372830043447,0.37037037037035747,-0.0,0.0,0.0,0.0,0.7894986592426791,349.14773939069255
0.02575757575757575,8.499999999999996,4.204699316417159,1319.4236758488007,0.21488866114851965,-0.0008348076861194188,313181.4101119376,0.2340837283004345,0.37037037037035747,-0.0,0.0,0.0,0.0,0.7745882953426617,346.43986280804194
0.027272727272727264,8.999999999999998,4.140302002761581,1308.4681366528876,0.21641889077882986,-0.0007565574952617581,324768.1875498811,0.2340837283004345,0.3703703703703574,-0.0,0.0,0.0,0.0,0.7596713156296542,343.65573174118697
0.02878787878787878,9.499999999999996,4.075169883663056,1297.5068428451943,0.21803582189560072,-0.0006842432117905756,335512.7190671801,0.23408372830043447,0.3703703703703576,-0.0,0.0,0.0,0.0,0.7447639940248908,340.7997419069443
0.030303030303030293,9.999999999999998,4.009411268491612,1286.543886835029,0.21973933136338528,-0.0006176093673030765,345415.12640262244,0.2340837283004345,0.37037037037035764,-0.0,0.0,0.0,0.0,0.7298821966692087,337.8763319900331
0.03181818181818181,10.499999999999998,3.9431326470469927,1275.5833565663345,0.22152928945349756,-0.0005563985095389328,354477.9338610263,0.2340837283004345,0.3703703703703576,-0.0,0.0,0.0,0.0,0.7150413279723127,334.889965611261
0.033333333333333326,10.999999999999998,3.876438293636797,1264.6293225421173,0.22340555985356325,-0.0005003492864468196,362705.9594750057,0.2340837283004345,0.3703703703703577,-0.0,0.0,0.0,0.0,0.7002562819978052,331.84511393562457
0.034848484848484844,11.5,3.809429905232501,1253.6858254718209,0.22536799967832127,-0.00044919424582291024,370106.1964824608,0.23408372830043447,0.37037037037035764,-0.0,0.0,0.0,0.0,0.6855413993032571,328.7462390220352
0.03636363636363636,12.0,3.7422062749929577,1242.7568646113323,0.22741645948037956,-0.00040265972169836484,376687.6867645448,0.2340837283004345,0.3703703703703575,-0.0,0.0,0.0,0.0,0.6709104293223519,325.5977780079288
